grdc_no,wmo_reg,sub_reg,mix_reg,nat_id,river,station,country_code,lat,long,area,altitude,ds_stat_no,w_level,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,proc_tyrs,proc_tmon,f_import,f_im_yr,l_import,l_im_yr,provider_id,acsys,flux2ocean,gems,gcos_gtn-h,statistics,Pristine Basins,GRDC Reference Dataset,AdaptAlp,ArctHycos,
1201100,1,1,101,,MEJERDA,GHARDIMAOU,TN,"36,27","8,43",1480,192,1201500,0,    ,    ,     ,     ,1976,1979,4,0,1976,1979,4,"3,021","0,095",64,100,100,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
1201150,1,1,101,,MELLEGUE,K13,TN,"36,12","8,5",9000,327,1201500,0,    ,    ,     ,     ,1976,1979,4,0,1976,1979,4,"4,667","0,147",16,100,100,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
1201500,1,1,101,,MEJERDA,SLOUGHIA,TN,"36,58","9,52",20895,67,0,0,    ,    ,     ,     ,1976,1979,4,0,1976,1979,4,"18,292","0,577",28,100,100,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
1304100,1,4,104,169/2,EMSA,EMSA,MA,"35,52","-5,3",110,5,0,0,1971,1988,18,0,1971,1988,18,0,1971,1988,18,"0,692","0,022",198,"88,9",100,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0,0
1104150,1,4,104,,CHELIF,SIDI BELATAR,DZ,"36,02","0,27",43750,2,0,0,1978,2001,24,"58,35",1976,1977,2,0,1976,2001,26,"17,418","0,549",13,"38,5","99,2",18.2.1992,1992,9.8.2005,2005,-999,0,1,0,1,1,0,1,0,0,0
1104200,1,4,104,,MINA,OUED EL-ABTAL,DZ,"35,5","0,68",6635,205,1104150,0,    ,    ,     ,     ,1976,1978,3,0,1976,1978,3,"2,583","0,081",12,"66,7",100,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0,0
1104300,1,4,104,,RHIOU,AMMI MOUSSA,DZ,"35,87","1,12",2398,140,1104150,0,    ,    ,     ,     ,1976,1979,4,0,1976,1979,4,"3,229","0,102",42,100,100,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0,0
1104450,1,4,104,,MAZAFRAN,FER A CHEVAL,DZ,"36,67","2,82",1912,10,0,0,1979,1995,17,"0,03",1976,1978,3,0,1976,1995,20,"3,723","0,117",61,90,100,18.2.1992,1992,9.8.2005,2005,-999,0,0,0,0,0,0,0,0,0,0
1104480,1,4,104,,BOUDOUAOU,KEDDARA,DZ,"36,65","3,42",829,60,1104500,0,    ,    ,     ,     ,1976,1979,4,0,1976,1979,4,"0,361","0,011",14,75,100,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0,0
1104500,1,4,104,,ISSER,LAKHDARIA,DZ,"36,62","3,58",4149,90,0,0,    ,    ,     ,     ,1976,1979,4,0,1976,1979,4,"6,472","0,204",49,75,100,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0,0
1104530,1,4,104,,SEBAOU,BAGHLIA,DZ,"36,8","3,87",2501,20,0,0,    ,    ,     ,     ,1976,1979,4,0,1976,1979,4,"17,792","0,561",224,100,100,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,1,0,0,0,0,0,0
1104600,1,4,104,,BOUSELAM,SIDI YAHIA,DZ,"36,42","4,6",4309,220,0,0,1988,1997,10,0,1976,1978,3,0,1976,1997,22,"4,69","0,148",34,50,"98,5",18.2.1992,1992,9.8.2005,2005,-999,0,0,0,0,1,0,0,0,0,0
1104700,1,4,104,,RHUMEL,OUED ATHMANIA,DZ,"36,23","6,3",1220,710,0,0,    ,    ,     ,     ,1976,1978,3,0,1976,1978,3,"0,083","0,003",2,"66,7",100,18.2.1992,1992,18.2.1992,1992,-999,0,0,1,0,0,0,0,0,0,0
1104800,1,4,104,,MELAH,BOUCHEGOUF,DZ,"36,45","7,72",552,95,0,0,1978,2003,26,"8,02",1976,1977,2,0,1976,2003,28,"2,88","0,091",165,"78,6",100,18.2.1992,1992,9.8.2005,2005,-999,0,0,0,0,0,0,0,0,0,0
1304800,1,4,104,1447/6,KERT,DAR DRIOUCH,MA,"34,9","-3,29",1353,273,0,0,1969,1987,19,"0,92",1969,1987,19,"0,46",1969,1987,19,"0,667","0,021",16,"89,5",100,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0,0
1204900,1,4,104,,JOUMINE,DJEBEL ANTRA,TN,"36,95","9,47",235,130,0,0,    ,    ,     ,     ,1976,1979,4,0,1976,1979,4,"1,625","0,051",218,100,100,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
1107700,1,7,107,,TAFNA,PIERRE DU CHAT,DZ,"35,15","-1,45",7245,60,0,0,1979,2001,23,"1,85",1976,1979,4,"16,67",1976,2001,26,"2,836","0,089",12,"88,5","99,3",18.2.1992,1992,9.8.2005,2005,-999,0,0,0,0,1,0,0,0,0,0
1107800,1,7,107,,ISSER (TRIB. TAFNA),BENSEKRANE,DZ,"35,07","-1,22",1118,287,1107800,0,1979,1999,21,"0,04",1976,1978,3,0,1976,1999,24,"0,693","0,022",20,"91,7",100,18.2.1992,1992,9.8.2005,2005,-999,0,0,1,0,0,0,0,0,0,0
1308100,1,8,108,318/30,MOULOUYA,ZEIDA,MA,"32,97","-4,9",1673,1450,1308600,0,1976,1988,13,0,1976,1988,13,0,1976,1988,13,"1,723","0,054",32,"84,6",100,25.2.1992,1992,27.3.1996,1996,-999,0,0,0,0,0,0,0,0,0,0
