File_ID,ID,LAT,LON,X..lambert.azimuthal.equal.area.,Y..lambert.azimuthal.equal.area.,River_Name,Station_Location,Catchment_Area (km2),Outlet_elevation (m.a.s.l),nat_id,Country,Pristine Basins,GRDC Reference Dataset,AdaptAlp,d_start,d_end,d_yrs,d_miss,basin_boundary,,ID,wso1_id,ccm,Xccm,Yccm,AreaSHP,fileexists,area_diff,area_diff,FLAG_OK,wso1new,area,station,distance,REL_area_diff,final_wso1_id,,katka,exists,,,
GRDC_6114500_DMF,6114500,"40,61","-7,52","-2286580,964","-1158771,411",PONTE DE IONCAIS,PONTE DE IONCAIS,606,330,0,PT,0,0,0,1949,1990,42,"1,56",1,,6114500,518558,2004,"2846242,64","2117474,444","616,599999999971",1,"10,5999999999711","1,74917491748699",1,,,,,,518558,,GRDC_6140700_DMF,1,2000,73584,"205,130000000136"
GRDC_6115500_DMF,6115500,"38,07","-8,4","-2451275,448","-1395182,645",M.DA GAMITINHA,M.DA GAMITINHA,2721,28,0,PT,0,0,0,1940,1990,51,"7,63",1,,6115500,544769,2004,"2712471,099","1860451,912","2717,33000000007",1,"-3,66999999992959","-0,134876883496126",2,545198,"2718,6",M.DA GAMITINHA,"3,56026164032154","0,0882028665931643",545198,,GRDC_6142100_DMF,1,2005,607362,"2149,25999999884"
GRDC_6116200_DMF,6116200,"37,82","-7,63","-2397341,538","-1446819,962",PULO DO LOBO,PULO DO LOBO,60883,30,0,PT,0,0,0,1947,1990,44,"0,38",1,,6116200,547926,2004,"2772720,101","1817461,125","253,899999999977",1,"-60629,1","-99,5829706157713",0,-999,-999,-999,-999,-999,,,GRDC_6142120_DMF,1,2005,619089,"9031,47999999914"
GRDC_6118010_DMF,6118010,"47,8248","-2,7033","-1671498,027","-529619,9552",SAINT-JEAN-BREVELAY,SAINT-JEAN-BREVELAY,137,"99,98",J8433010,FR,1,0,0,1967,2012,46,"2,56",0,,6118010,349480,2003,"3374615,926","2827303,036","137,909999999979",1,"0,909999999979021","0,664233576627023",1,,,,,,349480,,GRDC_6142150_DMF,1,2005,625642,"24122,8500000019"
GRDC_6118015_DMF,6118015,"47,9938","-2,3688","-1642238,959","-519401,2372",LOYAT (PONT D129),LOYAT (PONT D129),315,"88,26",J8363110,FR,1,0,0,1967,2012,46,"0,18",0,,6118015,348273,2003,"3402313,118","2841637,631","309,64000000007",1,"-5,35999999993038","-1,7015873015652",2,347982,"309,6",LOYAT (PONT D129),"2,40716454487116","1,71428571428571",347982,,GRDC_6142200_DMF,1,2005,634689,"131552,330000008"
GRDC_6118020_DMF,6118020,"47,7122","-1,6908","-1603164,387","-564923,0573",GRAND-FOUGERAY (LA BERNADAISE),GRAND-FOUGERAY (LA BERNADAISE),118,68,J7824010,FR,1,0,0,1968,2012,45,0,0,,6118020,351448,2003,"3447372,696","2802441,003","115,520000000011",1,"-2,47999999998903","-2,10169491524494",1,,,,,,351448,,GRDC_6142520_DMF,1,2005,625600,"2086,20999999977"
GRDC_6118025_DMF,6118025,"47,7753","-1,9796","-1621729,497","-551642,0367",SAINT-JUST (LA RIVIERE COLOMBEL),SAINT-JUST (LA RIVIERE COLOMBEL),37,"80,22",J7973010,FR,1,0,0,1968,2012,45,0,0,,6118025,350667,2003,"3427106,661","2812838,643","69,9300000000043",1,"32,9300000000043","89,0000000000116",0,351410,"28,9",SAINT-JUST (LA RIVIERE COLOMBEL),"7,02426720394185","21,8918918918919",,,GRDC_6142551_DMF,1,2005,609908,"954,79999999983"
GRDC_6118030_DMF,6118030,"47,9816","-2,1438","-1626714,308","-525872,3982",PAIMPONT (PONT DU SECRET),PAIMPONT (PONT DU SECRET),"30,2","119,01",J8602410,FR,1,0,0,1968,2012,45,0,0,,6118030,348651,2003,"3418633,556","2837518,502","29,2600000000071",1,"-0,939999999992846","-3,11258278143327",2,348442,"29,3",PAIMPONT (PONT DU SECRET),"5,45044787931593","2,98013245033113",348442,,GRDC_6142601_DMF,1,2005,627510,"676,490000000072"
GRDC_6118050_DMF,6118050,"47,9042","-3,2013","-1704033,11","-509355,3971",QUISTINIC (KERDEC),QUISTINIC (KERDEC),"47,7","94,42",J5704810,FR,1,0,0,1964,2012,49,"0,13",0,,6118050,347761,2003,"3339488,706","2842527,069","30,3400000000072",1,"-17,3599999999929","-36,3941299790206",0,-999,-999,-999,-999,-999,,,GRDC_6142620_DMF,1,2005,632651,"10465,5599999991"
GRDC_6118060_DMF,6118060,"47,8999","-2,9752","-1688218,845","-515205,1837",GUENIN,GUENIN,316,"95,16",J5613010,FR,1,0,0,1964,2012,49,0,0,,6118060,348283,2003,"3356016,912","2839070,941","333,170000000003",1,"17,1700000000033","5,43354430379852",1,,,,,,348283,,GRDC_6142640_DMF,1,2005,613283,"828,650000000145"
GRDC_6118070_DMF,6118070,"47,9068","-3,7522","-1742746,577","-495725,3993",BANNALEC (PONT MEYA),BANNALEC (PONT MEYA),"69,7","85,08",J4614010,FR,1,0,0,1966,2012,47,0,0,,6118070,346489,2003,"3299115,833","2850297,348","73,9999999999461",1,"4,29999999994611","6,1692969870102",2,346384,74,BANNALEC (PONT MEYA),"6,82060721028494","6,16929698708751",346384,,GRDC_6142650_DMF,0,,,
