"title","keywords","link"
"Gridded data","Temperature, air ; Flux, precipitation","http://www.ecad.eu/download/ensembles/download.php"
"Indices data","Temperature, air ; Flux, precipitation","http://eca.knmi.nl/download/millennium/millennium.php"
"Predefined subsets in ASCII","Temperature, air ; Flux, precipitation","http://eca.knmi.nl/dailydata/predefinedseries.php"
"CCM2 Download","Delineation, catchment","http://ccm.jrc.ec.europa.eu/php/index.php?action=view&id=24"
"Aggregation catchments","Delineation, catchment","http://www.eea.europa.eu/data-and-maps/data/european-catchments-and-rivers-network/"
"Rivers","Water body, river","http://www.eea.europa.eu/data-and-maps/data/european-catchments-and-rivers-network/"
"Lakes","Water body, lake","http://www.eea.europa.eu/data-and-maps/data/european-catchments-and-rivers-network/"
"FEC","Delineation, catchment","http://www.eea.europa.eu/data-and-maps/data/european-catchments-and-rivers-network/"
"Personal Geodatabase file (Access)","Delineation, catchment","http://www.eea.europa.eu/data-and-maps/data/european-catchments-and-rivers-network/"
"Total Full V6 (0.5x0.5)","Flux, precipitation","ftp://ftp.cdc.noaa.gov/Datasets/gpcc/full_v6/precip.mon.total.v6.nc"
"LTM Total Full V6 (0.5x0.5)","Flux, precipitation","ftp://ftp.cdc.noaa.gov/Datasets/gpcc/full_v6/precip.mon.1981-2010.ltm.v6.nc"
"NOBS Total Full V6 (0.5x0.5)","Flux, precipitation","ftp://ftp.cdc.noaa.gov/Datasets/gpcc/full_v6/precip.mon.nobs.v6.nc"
"Total Full V6 (1.0x1.0)","Flux, precipitation","ftp://ftp.cdc.noaa.gov/Datasets/gpcc/full_v6/precip.mon.total.1x1.v6.nc"
"LTM Total Full V6 (1.0x1.0)","Flux, precipitation","ftp://ftp.cdc.noaa.gov/Datasets/gpcc/full_v6/precip.mon.1981-2010.ltm.1x1.v6.nc"
"NOBS Total Full V6 (1.0x1.0)","Flux, precipitation","ftp://ftp.cdc.noaa.gov/Datasets/gpcc/full_v6/precip.mon.nobs.1x1.v6.nc"
"Total Full V6 (2.5x2.5)","Flux, precipitation","ftp://ftp.cdc.noaa.gov/Datasets/gpcc/full_v6/precip.mon.total.2.5x2.5.v6.nc"
"LTM Total Full V6 (2.5x2.5)","Flux, precipitation","ftp://ftp.cdc.noaa.gov/Datasets/gpcc/full_v6/precip.mon.1981-2010.ltm.2.5x2.5.v6.nc"
"NOBS Full V6 (2.5x2.5)","Flux, precipitation","ftp://ftp.cdc.noaa.gov/Datasets/gpcc/full_v6/precip.mon.nobs.2.5x2.5.v6.nc"
