"title","keywords","link"
"CEH Information Gateway","Water body; level","https://gateway.ceh.ac.uk/terraCatalog/Start.do"
"ERA Interim, Daily fields","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind ; Temperature, air","http://apps.ecmwf.int/datasets/data/interim_full_daily/"
"ERA-40, Daily Fields","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind; Temperature, air","http://apps.ecmwf.int/datasets/data/era40_daily/"
"TIGGE Data Retrieval","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind; Temperature, air","http://apps.ecmwf.int/datasets/data/tigge/"
"CERA Gateway","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind; Temperature, air","http://cera-www.dkrz.de/WDCC/ui/Index.jsp"
"WCRP CMIP3 Multi-Model Data","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind; Temperature, air","https://esgcet.llnl.gov:8443/index.jsp"
"grid-mntp-1880-current-v3.2.2.dat","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind; Temperature, air","ftp://ftp.ncdc.noaa.gov/pub/data/ghcn/v3/grid/grid-mntp-1880-current-v3.2.2.dat.gz"
"ghcnm.tavg.v3.1.0.20111105.qca.tar","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind; Temperature, air","ftp://ftp.ncdc.noaa.gov/pub/data/ghcn/v3/archives/v3.1.0/ghcnm.tavg.v3.1.0.20111105.qca.tar.gz"
"ghcnm.tavg.latest.qca.tar","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind; Temperature, air","ftp://ftp.ncdc.noaa.gov/pub/data/ghcn/v3/ghcnm.tavg.latest.qca.tar.gz"
"ghcnm.tavg.latest.qcu.tar","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind; Temperature, air","ftp://ftp.ncdc.noaa.gov/pub/data/ghcn/v3/ghcnm.tavg.latest.qcu.tar.gz"
"ghcnm.tmax.latest.qca.tar","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind; Temperature, air","ftp://ftp.ncdc.noaa.gov/pub/data/ghcn/v3/ghcnm.tmax.latest.qca.tar.gz"
"ghcnm.tmax.latest.qcu.tar","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind; Temperature, air","ftp://ftp.ncdc.noaa.gov/pub/data/ghcn/v3/ghcnm.tmax.latest.qcu.tar.gz"
"ghcnm.tmin.latest.qca.tar","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind; Temperature, air","ftp://ftp.ncdc.noaa.gov/pub/data/ghcn/v3/ghcnm.tmin.latest.qca.tar.gz"
"ghcnm.tmin.latest.qcu.tar","Area, atmosphere ; Pressure, air ; Flux, precipitation ; Flux, wind; Temperature, air","ftp://ftp.ncdc.noaa.gov/pub/data/ghcn/v3/ghcnm.tmin.latest.qcu.tar.gz"
"HR Layer Imperviousness - Degree of Imperviousness 2009 -Pan-European - P-EL-03","Soil","http://www.geoland2.eu/portal/order/PrepareOperation.do?serviceId=CB80D480&operation=Search"
"Raster Library 10kmx10km, EU25 library","Soil","http://eusoils.jrc.ec.europa.eu/esdb_archive/etrs_laea_raster_archive/all_grids_laea.zip"
"Soil Profile Analytical Database of Europe of Measured parameters","Soil","http://eusoils.jrc.ec.europa.eu/projects/spade/Data/SPADE_M_v2.zip"
"Soil Sealing & food security (Loss of Potential Agricultural Production Capability)","Soil","http://eusoils.jrc.ec.europa.eu/library/themes/Sealing/Data/LandTake.zip"
"Eco-pedological Map for the Alpine Territory (ECALP) 100X100km","Soil","http://eusoils.jrc.ec.europa.eu/projects/alpsis/Docs/alpine_100k.zip"
"Eco-pedological Map for the Alpine Territory (ECALP) 10x10km","Soil","http://eusoils.jrc.ec.europa.eu/projects/alpsis/Docs/alpine_10k.zip"
"Eco-pedological Map for the Alpine Territory (ECALP) 1x1km","Soil","http://eusoils.jrc.ec.europa.eu/projects/alpsis/Docs/alpine_1k.zip"
"Support to Renewable Energy Directive","Soil","http://eusoils.jrc.ec.europa.eu/projects/RenewableEnergy/Data/Soil_type.zip"
"Biochar Meta-analysis Database","Soil","http://eusoils.jrc.ec.europa.eu/projects/Biochar/Documents/Biochar_Meta-analysis_%20Database.zip"
"Population on 1 January by age and sex - NUTS 2 regions","Population, human","http://appsso.eurostat.ec.europa.eu/nui/submitViewTableAction.do"
"Total Population - Both Sexes","Population, human","http://esa.un.org/wpp/Excel-Data/EXCEL_FILES/1_Population/WPP2012_POP_F01_1_TOTAL_POPULATION_BOTH_SEXES.XLS"
"Total Population - Male","Population, human","http://esa.un.org/wpp/Excel-Data/EXCEL_FILES/1_Population/WPP2012_POP_F01_2_TOTAL_POPULATION_MALE.XLS"
"Total Population - Female","Population, human","http://esa.un.org/wpp/Excel-Data/EXCEL_FILES/1_Population/WPP2012_POP_F01_3_TOTAL_POPULATION_FEMALE.XLS"
"Population Growth Rate","Population, human","http://esa.un.org/wpp/Excel-Data/EXCEL_FILES/1_Population/WPP2012_POP_F02_POPULATION_GROWTH_RATE.XLS"
"Rate of Natural Population Increase","Population, human","http://esa.un.org/wpp/Excel-Data/EXCEL_FILES/1_Population/WPP2012_POP_F03_RATE_OF_NATURAL_INCREASE.XLS"
