"title","keywords","link"
"Waterbase - Rivers","Chemical;  nutrient ; chemical, organic ; chemical, inorganic","http://www.eea.europa.eu/data-and-maps/data/waterbase-rivers-10/waterbase-rivers-quality/waterbase-rivers-microsoft-access-database-file/download"
"Transitional, coastal and marine waters data","Water body ; flux, discharge ; chemical ; nutrient","http://ftp.eea.europa.eu/www/waterbase/TCM/v11/Waterbase_TCM_v11_mdb.zip"
"E-PRTR v3.3","Nutrient","http://www.eea.europa.eu/data-and-maps/data/member-states-reporting-art-7-under-the-european-pollutant-release-and-transfer-register-e-prtr-regulation-4/european-pollutant-release-and-transfer-register-e-prtr-data-base/european-pollutant-release-and-transfer-register-e-prtr-data-base/download"
"E-PRTR v3.3, summary tables","Nutrient","http://www.eea.europa.eu/data-and-maps/data/member-states-reporting-art-7-under-the-european-pollutant-release-and-transfer-register-e-prtr-regulation-4/european-pollutant-release-and-transfer/eprtr_v3.1_summary_tables.zip/download"
"E-PRTR v3.3, KML file","Nutrient","http://www.eea.europa.eu/data-and-maps/data/member-states-reporting-art-7-under-the-european-pollutant-release-and-transfer-register-e-prtr-regulation-4/e-prtr-facilities-kmz-format/eprtrfacilities_kml_wgs84.kmz/download"
"E-PRTR v3.7","Nutrient","http://www.eea.europa.eu/data-and-maps/data/member-states-reporting-art-7-under-the-european-pollutant-release-and-transfer-register-e-prtr-regulation-10/european-pollutant-release-and-transfer-register-e-prtr-data-base/eprtr-access/download"
"Waterbase - UWWTD: Urban Waste Water Treatment Directive, version 2","Nutrient","http://www.eea.europa.eu/data-and-maps/data/waterbase-uwwtd-urban-waste-water-treatment-directive-1/waterbase-uwwtd-gis/waterbase_uwwtd_v2_gis.zip/download"
"Natura 2000 sites, version 2014","land cover ; water body, river ; water body, lake ; water body, sea","http://www.eea.europa.eu/data-and-maps/data/natura-6/natura-2000-tabular-data-12-tables/natura-2000-access-database/download"
"Corine Land Cover- Non-irrigated arable land","Land cover ; Land management, agriculture","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c111.zip"
"Corine Land Cover- Sport and leisure facilities","Land cover ; Land management, urban","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c142.zip"
"Corine Land Cover- Green urban areas","Land cover ; Land management, urban","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c141.zip"
"Corine Land Cover- Construction sites","Land cover ; Land management, urban","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c133.zip"
"Corine Land Cover- Dump sites","Land cover ; Land management, urban","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c132.zip"
"Corine Land Cover- Mineral extraction sites","Land cover ; Land management, urban","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c131.zip"
"Corine Land Cover- Port areas","Land cover ; Land management, urban","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c123.zip"
"Corine Land Cover- Airports","Land cover ; Land management, urban","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c124.zip"
"Corine Land Cover- Road and rail networks and associated land","Land cover ; Land management, urban","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c122.zip"
"Corine Land Cover- Industrial or commercial units","Land cover ; Land management, urban","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c121.zip"
"Corine Land Cover- Discontinuous urban fabric","Land cover ; Land management, urban","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c112.zip"
"Corine Land Cover- Non-irrigated arable land 2","Land cover ; Land management","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c211.zip"
"Corine Land Cover- Coniferous forest","Land cover ; Land management","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c312.zip"
"Corine Land Cover- Broad-leaved forest","Land cover ; Land management, forestry","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c311.zip"
"Corine Land Cover- Agro-forestry areas","Land cover ; Land management, forestry, argiculture","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c244.zip"
"Corine Land Cover- Land principally occupied by agriculture, with significant areas of natural vegetation","Land cover ; Land management, agriculture","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c243.zip"
"Corine Land Cover- Complex cultivation patterns","Land cover ; Land management, agriculture","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c242.zip"
"Corine Land Cover- Annual crops associated with permanent crops","Land cover ; Land management, agriculture","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c241.zip"
"Corine Land Cover- Pastures","Land cover ; Land management, agriculture","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c231.zip"
"Corine Land Cover- Olive groves","Land cover ; Land management, agriculture","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c223.zip"
"Corine Land Cover- Fruit trees and berry plantations","Land cover ; Land management, agriculture","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c222.zip"
"Corine Land Cover- Vineyards","Land cover ; Land management, agriculture","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c221.zip"
"Corine Land Cover- Rice fields","Land cover ; Land management, agriculture","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c213.zip"
"Corine Land Cover- Permanently irrigated land","Land cover ; Land management, agriculture","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c212.zip"
"Corine Land Cover- Peat bogs","Land cover ; Land management","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c412.zip"
"Corine Land Cover- Inland marshes","Land cover ; Land management","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c411.zip"
"Corine Land Cover- Glaciers and perpetual snow","Land cover ; Land management, Ice, snow","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c335.zip"
"Corine Land Cover- Burnt areas","Land cover ; Land management","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c334.zip"
"Corine Land Cover- Sparsely vegetated areas","Land cover ; Land management ; Biological vegetation","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c333.zip"
