"title","keywords","link"
"Land use by NUTS 2 regions","Land management, agriculture","http://appsso.eurostat.ec.europa.eu/nui/submitViewTableAction.do;jsessionid=9ea7d07e30d88ec723cbddd246c4a0239b6f85345243.e34OaN8Pc3mMc40Lc3aMaNyTbx8Re0"
"Areas harvested, yields, production by NUTS 2 regions","Land management, agriculture","http://appsso.eurostat.ec.europa.eu/nui/submitViewTableAction.do"
"CSI20_Fig01_September2012","Chemical ; Nutrient","http://www.eea.europa.eu/data-and-maps/figures/concentrations-of-nitrate-left-no3-and-phosphorus-right-op-orthophosphate-or-tp-total-phosphorus-in-european-freshwater-bodies-in-the-period-1/csi-020_fig01.xls/at_download/file"
"CSI20_Fig02_September2012","Chemical ; Nutrient","http://www.eea.europa.eu/data-and-maps/figures/nitrate-concentrations-in-groundwater-between-1992-and-2005-in-different-regions-of-europe-3/csi-020_fig03.xls/at_download/file"
"CSI20_Fig03_September2012","Chemical ; Nutrient","http://www.eea.europa.eu/data-and-maps/figures/nitrate-concentrations-in-rivers-between-1990-and-2005-in-different-regions-of-europe-3/csi-020_fig05.xls/at_download/file"
"CSI20_Fig04_September2012","Chemical ; Nutrient","http://www.eea.europa.eu/data-and-maps/figures/nitrate-concentrations-in-rivers-between-2/csi020_fig05.xls/at_download/file"
"CSI20_Fig05_September2012","Chemical ; Nutrient","http://www.eea.europa.eu/data-and-maps/figures/phosphorus-concentrations-in-rivers-orthophosphate-6/csi020_fig09.xls/at_download/file"
"CSI20_Fig06_September2012","Chemical ; Nutrient","http://www.eea.europa.eu/data-and-maps/figures/phosphorus-concentrations-in-rivers-orthophosphate-7/csi020_fig08.xls/at_download/file"
"CSI20_Fig07_September2012","Chemical ; Nutrient","http://www.eea.europa.eu/data-and-maps/figures/phosphorus-concentrations-in-lakes-total-2/csi020_fig11.xls/at_download/file"
"CSI021_PO4_2010_msfd_regions","Chemical ; Nutrient","http://www.eea.europa.eu/data-and-maps/figures/map-of-winter-orthophosphate-concentrations-observed-in-1/po4_2005_csi21.xls/at_download/file"
"CSI021_Figure03_July2012","Chemical ; Nutrient","http://www.eea.europa.eu/data-and-maps/figures/trends-in-nutrient-concentrations-in-transitional-coastal-and-marine-waters/change-in-winter-oxidized-nitrogen/at_download/file"
"EEA-CSI-21 PO4 Assessment 2012 rev_new regions","Chemical ; Nutrient","http://www.eea.europa.eu/data-and-maps/figures/change-in-winter-orthophosphate-concentrations-in-coastal-and-open-waters-of-the-north-east-atlantic-baltic-mediterranean-and-north-seas-for-stations-that-include-observations-made-in-2005-left-panel-and-those-that-do-not-right-panel-2/csi021_fig04ab.xls/at_download/file"
