"title","keywords","link"
"TG 0.25 deg. regular grid","Temperature, air","http://eca.knmi.nl/download/ensembles/data/Grid_0.25deg_reg/tg_0.25deg_reg_v10.0.nc.gz"
"RR 0.25 deg. regular grid","Flux, precipitation","http://www.ecad.eu/download/ensembles/data/Grid_0.25deg_reg/rr_0.25deg_reg_v10.0.nc.gz"
"TG 0.50 deg. regular grid","Temperature, air","http://www.ecad.eu/download/ensembles/data/Grid_0.50deg_reg/tg_0.50deg_reg_v10.0.nc.gz"
"RR 0.50 deg. regular grid","Flux, precipitation","http://www.ecad.eu/download/ensembles/data/Grid_0.50deg_reg/rr_0.50deg_reg_v10.0.nc.gz"
"TG 0.22 deg. rotated grid","Temperature, air","http://www.ecad.eu/download/ensembles/data/Grid_0.22deg_rot/tg_0.22deg_rot_v10.0.nc.gz"
"RR 0.22 deg. rotated grid","Flux, precipitation","http://www.ecad.eu/download/ensembles/data/Grid_0.22deg_rot/rr_0.22deg_rot_v10.0.nc.gz"
"TG 0.44 deg. rotated grid","Temperature, air","http://www.ecad.eu/download/ensembles/data/Grid_0.44deg_rot/tg_0.44deg_rot_v10.0.nc.gz"
"RR 0.44 deg. rotated grid","Flux, precipitation","http://www.ecad.eu/download/ensembles/data/Grid_0.44deg_rot/rr_0.44deg_rot_v10.0.nc.gz"
"HydroSHEDS (ACC) - Flow accumulation [cells] at 15s resolution (eu_acc_15s)","Flux, discharge","http://earlywarning.usgs.gov/hydrodata/sa_15s_zip_grid/eu_acc_15s_grid.zip"
"HydroSHEDS (RIV) - River network (stream lines) at 15s resolution","Delineation, catchment","http://earlywarning.usgs.gov/hydrodata/sa_shapefiles_zip/eu_riv_15s.zip"
"HydroSHEDS (DIR) - Drainage directions at 15s resolution","Delineation, drainage lines","http://earlywarning.usgs.gov/hydrodata/sa_15s_zip_grid/eu_dir_15s_grid.zip"
"HydroSHEDS (BAS) - Drainage basins (watershed boundaries) at 15s resolution","Delineation, catchment","http://earlywarning.usgs.gov/hydrodata/sa_shapefiles_zip/eu_bas_15s_beta.zip"
"HydroSHEDS (DEM) - Void-filled elevation model at 15s resolution","Level, surface","http://earlywarning.usgs.gov/hydrodata/sa_15s_zip_grid/eu_dem_15s_grid.zip"
"Ecrins drainage lines, EcrRiv.mdb ","Delineation, drainage lines","http://projects.eionet.europa.eu/ecrins/library/hydrography/v1/ecrrivmdb/download/1/EcrRiv.mdb"
"ECRINS lakes, EcrLak.mdb ","Water body, lake","http://projects.eionet.europa.eu/ecrins/library/hydrography/v1/ecrlakmdb/download/1/EcrLak.mdb"
"ECRINS FECs, EcrFEC.mdb ","Delineation, catchment","http://projects.eionet.europa.eu/ecrins/library/hydrography/v1/ecrfecmdb/download/1/EcrFEC.mdb"
"ECRINS aggregated feature classes, EcrAgg.mdb ","Delineation, catchment","http://projects.eionet.europa.eu/ecrins/library/hydrography/v1/ecraggmdb/download/1/EcrAgg.mdb"
"EcrAncl, EcrAncl.rar","Delineation, catchment","http://projects.eionet.europa.eu/ecrins/library/hydrography/v1/ecranclrar/download/1/EcrAncl.rar"
"Ecrins gazeteer - river names, EcrGaz.mdb","Water body, river","http://projects.eionet.europa.eu/ecrins/library/hydrography/v1/ecrgazmdb/download/1/EcrGaz.mdb"
